Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/18/2026,"ORIG CO NAME:NEW YORK LIFE          ORIG ID:1135582869 DESC DATE:MAY 26 CO ENTRY DESCR:INS. PREM.SEC:WEB    TRACE#:021000025266496 EED:260518   IND ID:14 497 892                   IND NAME:GOLDA SIEGEL                                                                                                 U.S. TRN: 1385266496TC",-142.18,ACH_DEBIT,6838.10,,
DEBIT,05/18/2026,"E-Z*PASSNY REBILL 800-333-8655 NY            05/17",-369.45,DEBIT_CARD,6980.28,,
DEBIT,05/18/2026,"BONEI OLAM VZAKEINI 718-252-1212 NY          05/15",-7.25,DEBIT_CARD,7349.73,,
DEBIT,05/18/2026,"AMAZON MKTPL*BF51D43 Amzn.com/bill WA        05/16",-9.78,DEBIT_CARD,7356.98,,
DEBIT,05/18/2026,"GOURMET GLATT - CEDARHU CEDARHURST NY        05/15",-139.89,DEBIT_CARD,7366.76,,
DEBIT,05/18/2026,"EAST 4 NAIL SALON CEDARHURST NY              05/15",-26.00,DEBIT_CARD,7506.65,,
DEBIT,05/18/2026,"AMAZON MKTPL*6H2NM2E Amzn.com/bill WA        05/16",-55.99,DEBIT_CARD,7532.65,,
DEBIT,05/18/2026,"WEBSPRING LONDON                             05/15",-510.00,DEBIT_CARD,7588.64,,
DEBIT,05/18/2026,"Walkabout Software 513-2441600 OH            05/15",-392.00,DEBIT_CARD,8098.64,,
DEBIT,05/18/2026,"THE CIRCLE 732-592-5437 NJ                   05/14",-23.00,DEBIT_CARD,8490.64,,
DEBIT,05/18/2026,"AMAZON MKTPL*BF7FZ6Z Amzn.com/bill WA        05/15",-51.54,DEBIT_CARD,8513.64,,
DEBIT,05/18/2026,"BASSLINE PRODUCTIONS L 732-7193311 NJ        05/15",-14.95,DEBIT_CARD,8565.18,,
DEBIT,05/18/2026,"ROCKAWAY KOSHER FAR ROCKAWAY NY              05/14",-72.40,DEBIT_CARD,8580.13,,
DEBIT,05/18/2026,"PAYPAL *SHOPJIMMY SHO 952-881-6492 MN        05/16",-72.62,DEBIT_CARD,8652.53,,
DEBIT,05/18/2026,"GOOGLE *Google Photos 855-836-3987 CA        05/15",-20.41,DEBIT_CARD,8725.15,,
DEBIT,05/18/2026,"GOOGLE *Google Photo g.co/helppay# CA        05/15",-20.80,DEBIT_CARD,8745.56,,
CREDIT,05/18/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:051526 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071757081332 EED:260518   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1387081332TC",227.11,ACH_CREDIT,8766.36,,
CREDIT,05/18/2026,"ORIG CO NAME:SERVICEPOWER           ORIG ID:7522160760 DESC DATE:051526 CO ENTRY DESCR:I600050726SEC:PPD    TRACE#:091000017400233 EED:260518   IND ID:                             IND NAME:MAJOR APPLIANCE REPAIR TRN: 1387400233TC",775.00,ACH_CREDIT,8539.25,,
CREDIT,05/18/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:051626 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071752627191 EED:260518   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1382627191TC",2329.90,ACH_CREDIT,7764.25,,
DSLIP,05/18/2026,"REMOTE ONLINE DEPOSIT #          1",151.34,CHECK_DEPOSIT,5434.35,1,
DSLIP,05/18/2026,"REMOTE ONLINE DEPOSIT #          1",292.87,CHECK_DEPOSIT,5283.01,1,
DEBIT,05/18/2026,"AMAZON MKTPLACE PMTS Amzn.com/bill WA        05/16",16.93,DEBIT_CARD,4990.14,,
CHECK,05/15/2026,"CHECK 1423  ",-29.02,CHECK_PAID,4973.21,1423,
DEBIT,05/15/2026,"TRADER JOE S #55 TRADE HEWLETT NY    823105  05/15",-73.28,DEBIT_CARD,5002.23,,
DEBIT,05/15/2026,"Zelle payment to Veronica JPM99ch44308",-100.00,CHASE_TO_PARTNERFI,5075.51,,
DEBIT,05/15/2026,"ORIG CO NAME:ADP PAYROLL FEES       ORIG ID:9659605001 DESC DATE:260515 CO ENTRY DESCR:ADP FEES  SEC:CCD    TRACE#:021000022890373 EED:260515   IND ID:552077979123                 IND NAME:720754828MAJOR APPLIAN                                                                                       550374703 TRN: 1352890373TC",-148.66,ACH_DEBIT,5175.51,,
DEBIT,05/15/2026,"BEACH CHANNEL GAS FAR ROCKAWAY NY    836700  05/15",-50.75,DEBIT_CARD,5324.17,,
DEBIT,05/15/2026,"Zelle payment to Schweitzer 29229339469",-600.00,QUICKPAY_DEBIT,5374.92,,
DEBIT,05/15/2026,"Zelle payment to Malka JPM99ch36sz0",-188.00,CHASE_TO_PARTNERFI,5974.92,,
DEBIT,05/15/2026,"ORIG CO NAME:Roe Oil Company        ORIG ID:1208731395 DESC DATE:       CO ENTRY DESCR:ACH CollecSEC:CCD    TRACE#:121137722700817 EED:260515   IND ID:1258                         IND NAME:Major Appliance TRN: 1352700817TC",-289.97,ACH_DEBIT,6162.92,,
DEBIT,05/15/2026,"ORIG CO NAME:Yeshiva Darchei        ORIG ID:9001723462 DESC DATE:051526 CO ENTRY DESCR:WEB PMTS  SEC:WEB    TRACE#:111924684275579 EED:260515   IND ID:VYTTCS                       IND NAME:Golda Siegel                                                                                                 718-868-2300 ext 0 TRN: 1354275579TC",-2008.33,ACH_DEBIT,6452.89,,
DEBIT,05/15/2026,"Amazon.com*342HY2463 Amzn.com/bill WA        05/15",-16.00,DEBIT_CARD,8461.22,,
DEBIT,05/15/2026,"AMAZON MKTPL*BV23V8Y Amzn.com/bill WA        05/15",-65.08,DEBIT_CARD,8477.22,,
DEBIT,05/15/2026,"AMAZON MKTPL*1L6808I Amzn.com/bill WA        05/15",-32.91,DEBIT_CARD,8542.30,,
DEBIT,05/15/2026,"VINOTEMP.COM 800-777-8466 FL                 05/14",-32.95,DEBIT_CARD,8575.21,,
DEBIT,05/15/2026,"SP+AFF* YAKIRABELLA AFFIRM.COM CA            05/14",-36.50,DEBIT_CARD,8608.16,,
DEBIT,05/15/2026,"AMAZON MKTPL*FV24B69 Amzn.com/bill WA        05/15",-6.46,DEBIT_CARD,8644.66,,
DEBIT,05/15/2026,"ACI*AMERICANHONDAFINC 800-252-9638 NE        05/14",-416.56,DEBIT_CARD,8651.12,,
DEBIT,05/15/2026,"PAYPAL *MCCOMBS MCCOM 800-732-0499 PA        05/15",-48.19,DEBIT_CARD,9067.68,,
DEBIT,05/15/2026,"AMAZON MKTPL*BO3Z87G Amzn.com/bill WA        05/15",-38.69,DEBIT_CARD,9115.87,,
DEBIT,05/15/2026,"AMAZON MKTPL*BV7SR0I Amzn.com/bill WA        05/14",-29.90,DEBIT_CARD,9154.56,,
DEBIT,05/15/2026,"AMAZON MKTPL*AO2908C Amzn.com/bill WA        05/14",-43.94,DEBIT_CARD,9184.46,,
DEBIT,05/15/2026,"Amazon.com*KW5F849C3 Amzn.com/bill WA        05/14",-9.35,DEBIT_CARD,9228.40,,
DEBIT,05/15/2026,"AMAZON MKTPL*DN9D17T Amzn.com/bill WA        05/14",-51.35,DEBIT_CARD,9237.75,,
CREDIT,05/15/2026,"ORIG CO NAME:PEERLESS PREMIER       ORIG ID:1370457230 DESC DATE:       CO ENTRY DESCR:VENDOR PMTSEC:CCD    TRACE#:041000123942193 EED:260515   IND ID:MAJOR APPL                   IND NAME:MAJOR APPL-NEW             108847,108914,108924,108942,108997\ TRN: 1353942193TC",710.00,ACH_CREDIT,9289.10,,
CREDIT,05/15/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:051426 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071759211251 EED:260515   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1359211251TC",800.24,ACH_CREDIT,8579.10,,
CREDIT,05/15/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: GE Appliances REF: 5264010709_137844280 INFO: TEXT-RmtInf-5264010709 IID: 20260515021000021P1BRJPC03220000944 RECD: 06:04:48 TRN: 2940922134GA BREF: 0bb32c62831fda34",3045.00,MISC_CREDIT,7778.86,,
CHECK,05/14/2026,"CHECK 1416  ",-100.00,CHECK_PAID,4733.86,1416,
DEBIT,05/14/2026,"ORIG CO NAME:ADP Tax                ORIG ID:1223006057 DESC DATE:260514 CO ENTRY DESCR:ADP Tax   SEC:CCD    TRACE#:021000022701665 EED:260514   IND ID:L9QM5 052004A01              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       KC TRN: 1342701665TC",-1409.44,ACH_DEBIT,4833.86,,
DEBIT,05/14/2026,"Zelle payment to Leee Nigen JPM99cgzk9sg",-900.00,CHASE_TO_PARTNERFI,6243.30,,
DEBIT,05/14/2026,"Zelle payment to Cristie JPM99cgzjlvm",-483.93,CHASE_TO_PARTNERFI,7143.30,,
DEBIT,05/14/2026,"Zelle payment to William  Franklin JPM99cgzjl31",-764.73,CHASE_TO_PARTNERFI,7627.23,,
DEBIT,05/14/2026,"Zelle payment to Josh Perez JPM99cgzj6s8",-395.31,CHASE_TO_PARTNERFI,8391.96,,
DEBIT,05/14/2026,"Zelle payment to Rudy JPM99cgzj5wg",-933.42,CHASE_TO_PARTNERFI,8787.27,,
DEBIT,05/14/2026,"Zelle payment to Rudy JPM99cgy4ytx",-38.41,CHASE_TO_PARTNERFI,9720.69,,
DEBIT,05/14/2026,"ORIG CO NAME:BAISYAAKOVATERES       ORIG ID:3383693141 DESC DATE:260513 CO ENTRY DESCR:PURCHASE  SEC:PPD    TRACE#:091000013720102 EED:260514   IND ID:                             IND NAME:SHANET TRN: 1343720102TC",-771.00,ACH_DEBIT,9759.10,,
DEBIT,05/14/2026,"SP+AFF* PETITCLAIR AFFIRM.COM CA             05/13",-38.85,DEBIT_CARD,10530.10,,
DEBIT,05/14/2026,"VINOTEMP.COM 800-777-8466 FL                 05/13",-20.95,DEBIT_CARD,10568.95,,
DEBIT,05/14/2026,"INSPIRATION LINGERIE BROOKLYN NY             05/13",-514.00,DEBIT_CARD,10589.90,,
DEBIT,05/14/2026,"WEBSPRING LONDON                             05/13",-1100.00,DEBIT_CARD,11103.90,,
DEBIT,05/14/2026,"WEBSPRING LONDON                             05/13",-550.00,DEBIT_CARD,12203.90,,
DEBIT,05/14/2026,"Amazon.com*PI5C94Y23 Amzn.com/bill WA        05/13",-11.42,DEBIT_CARD,12753.90,,
DEBIT,05/14/2026,"AMAZON MKTPL*BF1WL9H Amzn.com/bill WA        05/13",-65.28,DEBIT_CARD,12765.32,,
DEBIT,05/14/2026,"Amazon.com*BV8MD4DZ0 Amzn.com/bill WA        05/13",-16.96,DEBIT_CARD,12830.60,,
CREDIT,05/14/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:051326 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071755862862 EED:260514   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1345862862TC",1372.60,ACH_CREDIT,12847.56,,
DSLIP,05/14/2026,"REMOTE ONLINE DEPOSIT #          1",298.32,CHECK_DEPOSIT,11474.96,1,
DEBIT,05/14/2026,"WEBSPRING LONDON                             05/13",1100.00,DEBIT_CARD,11176.64,,
DEBIT,05/13/2026,"BP#36611141346 BEACH FAR ROCKAWAY NY 995500  05/13",-66.73,DEBIT_CARD,10076.64,,
CHECK,05/13/2026,"CHECK 1419  ",-100.00,CHECK_PAID,10143.37,1419,
DEBIT,05/13/2026,"Zelle payment to Dmv Plates Service Far Rockaway 29200112892",-221.00,QUICKPAY_DEBIT,10243.37,,
DEBIT,05/13/2026,"Zelle payment to Shlomo Perkal JPM99cguaq1i",-130.00,CHASE_TO_PARTNERFI,10464.37,,
DEBIT,05/13/2026,"SP+AFF * WHOOPIKIDS 855-423-3729 CA          05/13",-55.98,DEBIT_CARD,10594.37,,
DEBIT,05/13/2026,"SP+AFF * THE RUNWAY 855-423-3729 CA          05/13",-56.25,DEBIT_CARD,10650.35,,
DEBIT,05/13/2026,"KEY FOOD #1288 2020 N FAR ROCKAWAY NY367591  05/13",-4.86,DEBIT_CARD,10706.60,,
DEBIT,05/13/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260513 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000025388591 EED:260513   IND ID:W5252                        IND NAME:MAJOR APPLIANCE                                                                                              ER AM TRN: 1335388591TC",-550.00,ACH_DEBIT,10711.46,,
DEBIT,05/13/2026,"SP SHIRTSTOP.US SHIRTSTOP.US NY              05/12",-86.00,DEBIT_CARD,11261.46,,
DEBIT,05/13/2026,"AMAZON MKTPL*BV53Y3Q Amzn.com/bill WA        05/13",-39.33,DEBIT_CARD,11347.46,,
DEBIT,05/13/2026,"Amazon.com*BV93N3Q60 Amzn.com/bill WA        05/13",-43.96,DEBIT_CARD,11386.79,,
DEBIT,05/13/2026,"AMAZON MKTPL*PX8716C Amzn.com/bill WA        05/13",-42.45,DEBIT_CARD,11430.75,,
DEBIT,05/13/2026,"Klarna*adidas US Columbus OH                 05/13",-36.49,DEBIT_CARD,11473.20,,
DEBIT,05/13/2026,"AMAZON MKTPL*B551023 Amzn.com/bill WA        05/12",-32.91,DEBIT_CARD,11509.69,,
DEBIT,05/13/2026,"LEGO 185-1642103 CT                          05/13",-217.73,DEBIT_CARD,11542.60,,
CREDIT,05/13/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:051226 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071755605852 EED:260513   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1335605852TC",693.54,ACH_CREDIT,11760.33,,
CREDIT,05/13/2026,"ORIG CO NAME:PCRichard PMD          ORIG ID:7010532275 DESC DATE:260513 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:051000018704838 EED:260513   IND ID:2005873                      IND NAME:majorapplian.receivabl TRN: 1338704838TC",3855.00,MISC_CREDIT,11066.79,,
DEBIT,05/13/2026,"AMAZON MKTPLACE PMTS Amzn.com/bill WA        05/13",19.59,DEBIT_CARD,7211.79,,
DEBIT,05/13/2026,"VINOTEMP.COM FT LAUDERDALE FL                05/11",125.07,DEBIT_CARD,7192.20,,
CHECK,05/12/2026,"CHECK 1212  ",-600.00,CHECK_PAID,7067.13,1212,
DEBIT,05/12/2026,"OPTUM SPECIALTY PHAR SPECIALTY.OPT MN        05/12",-1.00,DEBIT_CARD,7667.13,,
DEBIT,05/12/2026,"SP+AFF * KLADE CHILDR 855-423-3729 CA        05/12",-57.43,DEBIT_CARD,7668.13,,
DEBIT,05/12/2026,"SP+AFF * WHOOPIKIDS 855-423-3729 CA          05/12",-51.80,DEBIT_CARD,7725.56,,
DEBIT,05/12/2026,"Online Transfer to MMA ...6523 transaction#: 29185972868 05/12",-4796.00,ACCT_XFER,7777.36,,
DEBIT,05/12/2026,"ORIG CO NAME:ADP PAY-BY-PAY         ORIG ID:9555555505 DESC DATE:260512 CO ENTRY DESCR:PAY-BY-PAYSEC:CCD    TRACE#:021000025737997 EED:260512   IND ID:933841230260QM5              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       304287687 TRN: 1325737997TC",-214.32,ACH_DEBIT,12573.36,,
DEBIT,05/12/2026,"THE NEXUS SCHOOL OF SCHOOL.THENEX NJ         05/11",-18.00,DEBIT_CARD,12787.68,,
DEBIT,05/12/2026,"Amazon.com*BF1W29EU1 Amzn.com/bill WA        05/12",-18.38,DEBIT_CARD,12805.68,,
DEBIT,05/12/2026,"E-Z*PASSNY REBILL 800-333-8655 NY            05/12",-200.00,DEBIT_CARD,12824.06,,
DEBIT,05/12/2026,"MCF NA CONNECTEDFLEE GA                      05/11",-61.90,DEBIT_CARD,13024.06,,
DSLIP,05/12/2026,"REMOTE ONLINE DEPOSIT #          1",184.00,CHECK_DEPOSIT,13085.96,1,
DSLIP,05/12/2026,"REMOTE ONLINE DEPOSIT #          1",205.77,CHECK_DEPOSIT,12901.96,1,
DSLIP,05/12/2026,"REMOTE ONLINE DEPOSIT #          1",205.77,CHECK_DEPOSIT,12696.19,1,
DSLIP,05/12/2026,"REMOTE ONLINE DEPOSIT #          1",825.00,CHECK_DEPOSIT,12490.42,1,
DSLIP,05/12/2026,"REMOTE ONLINE DEPOSIT #          1",6138.50,CHECK_DEPOSIT,11665.42,1,
DEBIT,05/11/2026,"Zelle payment to Zlata JPM99cgmdofd",-100.00,CHASE_TO_PARTNERFI,5526.92,,
CHECK,05/11/2026,"CHECK 1424  ",-280.00,CHECK_PAID,5626.92,1424,
DEBIT,05/11/2026,"SP+AFF * YOUNG TIMERS 855-423-3729 CA        05/11",-7.25,DEBIT_CARD,5906.92,,
CHECK,05/11/2026,"CHECK 1219  ",-500.00,CHECK_PAID,5914.17,1219,
DEBIT,05/11/2026,"Zelle payment to Malka JPM99cgm0716",-214.00,CHASE_TO_PARTNERFI,6414.17,,
CHECK,05/11/2026,"CHECK 1215  ",-340.00,CHECK_PAID,6628.17,1215,
DEBIT,05/11/2026,"Amazon.com*OF7YR4NN3 Amzn.com/bill WA        05/11",-16.00,DEBIT_CARD,6968.17,,
DEBIT,05/11/2026,"AMAZON MKTPL*BF2HI9L Amzn.com/bill WA        05/11",-29.28,DEBIT_CARD,6984.17,,
DEBIT,05/11/2026,"Amazon.com*BF40T2OR1 Amzn.com/bill WA        05/10",-31.93,DEBIT_CARD,7013.45,,
DEBIT,05/11/2026,"KLARNA* LANDS  END KLARNA.COM OH             05/09",-33.70,DEBIT_CARD,7045.38,,
DEBIT,05/11/2026,"Klarna*Sephora Columbus OH                   05/09",-3.78,DEBIT_CARD,7079.08,,
DEBIT,05/11/2026,"OLDNAVY.COM 800-427-7895 CA                  05/08",-23.35,DEBIT_CARD,7082.86,,
DEBIT,05/11/2026,"BONEI OLAM VZAKEINI 718-252-1212 NY          05/08",-7.25,DEBIT_CARD,7106.21,,
DEBIT,05/11/2026,"AMAZON MKTPL*BV1UH92 Amzn.com/bill WA        05/09",-10.78,DEBIT_CARD,7113.46,,
DEBIT,05/11/2026,"Amazon.com*BV8HP0O00 Amzn.com/bill WA        05/08",-41.17,DEBIT_CARD,7124.24,,
DEBIT,05/11/2026,"BASSLINE PRODUCTIONS L 732-7193311 NJ        05/08",-14.95,DEBIT_CARD,7165.41,,
DEBIT,05/11/2026,"PAYPAL *MCCOMBS MCCOM 800-732-0499 PA        05/09",-126.58,DEBIT_CARD,7180.36,,
DEBIT,05/11/2026,"WWW COSTCO COM 800-955-2292 WA               05/09",-261.41,DEBIT_CARD,7306.94,,
DEBIT,05/11/2026,"TWILIO INC WWW.TWILIO.CO CA                  05/08",-25.01,DEBIT_CARD,7568.35,,
DEBIT,05/11/2026,"LEGO 185-1642103 CT                          05/09",-119.72,DEBIT_CARD,7593.36,,
CREDIT,05/11/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:050926 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071757711194 EED:260511   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1317711194TC",272.19,ACH_CREDIT,7713.08,,
CREDIT,05/11/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:050826 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071754406971 EED:260511   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1314406971TC",1091.29,ACH_CREDIT,7440.89,,
CREDIT,05/11/2026,"ORIG CO NAME:NEW YORK LIFE          ORIG ID:9617785808 DESC DATE:MAY 26 CO ENTRY DESCR:CASH LOAN SEC:PPD    TRACE#:021000027324639 EED:260511   IND ID:                             IND NAME:GOLDA SHANET TRN: 1317324639TC",5000.00,ACH_CREDIT,6349.60,,
DSLIP,05/11/2026,"REMOTE ONLINE DEPOSIT #          1",271.10,CHECK_DEPOSIT,1349.60,1,
CREDIT,05/11/2026,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: GE Appliances REF: 5264010001_137498681 INFO: TEXT-RmtInf-5264010001 IID: 20260511021000021P1BRJPC05300003334 RECD: 06:04:46 TRN: 2801152130GA BREF: 0bae0606307bae94",1096.00,MISC_CREDIT,1078.50,,
DEBIT,05/08/2026,"ORIG CO NAME:ADP PAYROLL FEES       ORIG ID:9659605001 DESC DATE:260508 CO ENTRY DESCR:ADP FEES  SEC:CCD    TRACE#:021000020868643 EED:260508   IND ID:717103414856                 IND NAME:719970811MAJOR APPLIAN                                                                                       550374703 TRN: 1280868643TC",-148.66,ACH_DEBIT,-17.50,,
CHECK,05/08/2026,"CHECK 1218  ",-500.00,CHECK_PAID,131.16,1218,
DEBIT,05/08/2026,"Zelle payment to William  Franklin JPM99cg7dvp2",-763.96,CHASE_TO_PARTNERFI,631.16,,
DEBIT,05/08/2026,"Zelle payment to Josh Perez JPM99cg7dami",-682.05,CHASE_TO_PARTNERFI,1395.12,,
DEBIT,05/08/2026,"Zelle payment to Rudy JPM99cg7d9ub",-1057.90,CHASE_TO_PARTNERFI,2077.17,,
CHECK,05/08/2026,"CHECK 1214  ",-500.00,CHECK_PAID,3135.07,1214,
DEBIT,05/08/2026,"ORIG CO NAME:BILLMATRIX             ORIG ID:7529000011 DESC DATE:260507 CO ENTRY DESCR:BILLPAYFEESEC:CCD    TRACE#:031101113451430 EED:260508   IND ID:10555020442                  IND NAME:BILLMATRIX TRN: 1283451430TC",-3.50,ACH_DEBIT,3635.07,,
DEBIT,05/08/2026,"ORIG CO NAME:FIS*VERIZON            ORIG ID:7529071411 DESC DATE:260507 CO ENTRY DESCR:BILL PAY  SEC:CCD    TRACE#:031101113445567 EED:260508   IND ID:10555020441                  IND NAME:VERIZON MAIN VRU TRN: 1283445567TC",-109.99,ACH_DEBIT,3638.57,,
DEBIT,05/08/2026,"ORIG CO NAME:Roe Oil Company        ORIG ID:1208731395 DESC DATE:       CO ENTRY DESCR:ACH CollecSEC:CCD    TRACE#:121137725389031 EED:260508   IND ID:1258                         IND NAME:Major Appliance TRN: 1285389031TC",-122.35,ACH_DEBIT,3748.56,,
DEBIT,05/08/2026,"ORIG CO NAME:IRS                    ORIG ID:3387702000 DESC DATE:050826 CO ENTRY DESCR:USATAXPYMTSEC:WEB    TRACE#:061036015401837 EED:260508   IND ID:240652855940805              IND NAME:PAUL SHANET TRN: 1285401837TC",-440.00,ACH_DEBIT,3870.91,,
DEBIT,05/08/2026,"ORIG CO NAME:MARCONE                ORIG ID:2430728583 DESC DATE:050726 CO ENTRY DESCR:PAYMENT   SEC:PPD    TRACE#:071000283447443 EED:260508   IND ID:                             IND NAME:MAJOR APPLIANCE SERVI TRN: 1283447443TC",-1036.91,ACH_DEBIT,4310.91,,
DEBIT,05/08/2026,"ORIG CO NAME:STATE FARM BILLG       ORIG ID:7700000009 DESC DATE:260508 CO ENTRY DESCR:PAYMENTS  SEC:TEL    TRACE#:021000025023310 EED:260508   IND ID:ML9UA00D-1                   IND NAME:MAJOR APPLIANCE SERVIC TRN: 1285023310TC",-1746.31,ACH_DEBIT,5347.82,,
DEBIT,05/08/2026,"IC* INSTACART INSTACART.COM CA               05/08",-45.97,DEBIT_CARD,7094.13,,
DEBIT,05/08/2026,"Zelle payment to Cristie JPM99cg5zijq",-483.94,CHASE_TO_PARTNERFI,7140.10,,
DEBIT,05/08/2026,"OLDNAVY.COM 800-427-7895 CA                  05/08",-17.52,DEBIT_CARD,7624.04,,
DEBIT,05/08/2026,"OLDNAVY.COM 800-427-7895 CA                  05/08",-29.68,DEBIT_CARD,7641.56,,
DEBIT,05/08/2026,"OLDNAVY.COM 800-427-7895 CA                  05/08",-40.85,DEBIT_CARD,7671.24,,
DEBIT,05/08/2026,"PAYPAL *MCCOMBS MCCOM 800-732-0499 PA        05/08",-67.43,DEBIT_CARD,7712.09,,
DEBIT,05/08/2026,"Amazon.com*BJ2075U40 Amzn.com/bill WA        05/07",-78.19,DEBIT_CARD,7779.52,,
DEBIT,05/08/2026,"ROCKAWAY KOSHER FAR ROCKAWAY NY              05/06",-7.28,DEBIT_CARD,7857.71,,
DEBIT,05/08/2026,"ROCKAWAY KOSHER FAR ROCKAWAY NY              05/06",-39.80,DEBIT_CARD,7864.99,,
DEBIT,05/08/2026,"AMAZON MKTPL*BF65475 Amzn.com/bill WA        05/08",-36.30,DEBIT_CARD,7904.79,,
CREDIT,05/08/2026,"ORIG CO NAME:PEERLESS PREMIER       ORIG ID:1370457230 DESC DATE:       CO ENTRY DESCR:VENDOR PMTSEC:CCD    TRACE#:041000122785869 EED:260508   IND ID:MAJOR APPL                   IND NAME:MAJOR APPL-NEW             108832,108893\ TRN: 1282785869TC",260.00,ACH_CREDIT,7941.09,,
CREDIT,05/08/2026,"ORIG CO NAME:SERVICEPOWER           ORIG ID:7522160760 DESC DATE:050726 CO ENTRY DESCR:I600043026SEC:PPD    TRACE#:091000013634159 EED:260508   IND ID:                             IND NAME:MAJOR APPLIANCE REPAIR TRN: 1283634159TC",620.00,ACH_CREDIT,7681.09,,
CREDIT,05/08/2026,"ORIG CO NAME:MERCH BANKCARD         ORIG ID:1470770502 DESC DATE:050726 CO ENTRY DESCR:NET SETLMTSEC:CCD    TRACE#:242071757936203 EED:260508   IND ID:520004810165                 IND NAME:MAJOR APPLIANCE SERVIC        MERCH BANKCARD  NET SETLMT   520 004810165     MAJOR APPLIANCE SERVI ICE CBC   MAJOR APPLIANCE SERV TRN: 1287936203TC",3259.18,ACH_CREDIT,7061.09,,
DSLIP,05/08/2026,"REMOTE ONLINE DEPOSIT #          1",59.25,CHECK_DEPOSIT,3801.91,1,
DSLIP,05/08/2026,"DEPOSIT  ID NUMBER 226768",2504.68,DEPOSIT,3742.66,,
DEBIT,05/07/2026,"ORIG CO NAME:ADP Tax                ORIG ID:1223006057 DESC DATE:260507 CO ENTRY DESCR:ADP Tax   SEC:CCD    TRACE#:021000024095991 EED:260507   IND ID:L9QM5 051303A01              IND NAME:MAJOR APPLIANCE SERVIC                                                                                       AA TRN: 1274095991TC",-1357.65,ACH_DEBIT,1237.98,,
DEBIT,05/07/2026,"ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:5760039224 DESC DATE:260507 CO ENTRY DESCR:EPAY ONUS SEC:TEL    TRACE#:021000022640236 EED:260507   IND ID:8692833410                   IND NAME:571952459268351 TRN: 1272640236TC",-871.00,ACH_DEBIT,2595.63,,
